N£mero;Descri‡Æo resumida;ICs afetados;Aberta;Anota‡äes de trabalho;Criado(a) por;Estado(state);Solicitante;Prioridade;Categoria;Grupo de atribui‡Æo;Atribu¡do a;Atualizado em;Atualizada por;Encerrado por;Marcadores;SYS ID
INC1432174;ABEND DS - BS - SUSTENTACAO - BVP - SISE-SP - JOB PP_SISE1035_D;PP_SISE1035_D;31/03/2026 01:21:52;"31/03/2026 10:05:44 - IVAN APARECIDO AUGUSTINELI (Anota‡äes de trabalho)
Viola‡Æo de PK - OBSERVA€ÇO: a pasta cont‚m dois arquivos, e isso pode gerar este problema. O correto ‚ processar um arquivo por vez.

31/03/2026 01:21:52 - System (Anota‡äes de trabalho)
Task is created by System Administrator , using  ""[code]<u><a href=""em_alert_management_rule.do?sys_id=45f74e2a8786f5544340c9530cbb3541"" target=""_blank"">BRAD - Correlation - Auto Incident - IWS</a></u>[/code]"" Alert Rule.

";system;Em andamento;IWS Processamento;4 - Baixo(a);Processamento;DS - BS - SUSTENTACAO - BVP - SISE-SP;ANDRE ANDRADE ALEXANDRE ROCHA;31/03/2026 10:05:44;M69257;;SISTRAN, SitEmAtendimento;f320570c8784c71c160e0d440cbb35b2
INC1431872;ABEND DS - BS - SUSTENTACAO - BVP - SISE-SP - JOB PP_SISE1001_D;PP_SISE1001_D;30/03/2026 18:33:10;"30/03/2026 20:41:42 - DIOGO DA FRANCA RODRIGUES (Anota‡äes de trabalho)
ajuste criticidade

30/03/2026 18:33:10 - System (Anota‡äes de trabalho)
Task is created by System Administrator , using  ""[code]<u><a href=""em_alert_management_rule.do?sys_id=45f74e2a8786f5544340c9530cbb3541"" target=""_blank"">BRAD - Correlation - Auto Incident - IWS</a></u>[/code]"" Alert Rule.

";system;Em andamento;IWS Processamento;2 - Alto(a);Processamento;DS - BS - SUSTENTACAO - BVP - SISE-SP;DIOGO DA FRANCA RODRIGUES;31/03/2026 10:14:16;M69257;;SISTRAN, SitEmAtendimento;c1a235444748cf5ca3787730f26d4359
INC1427993;ABEND DS - BS - SUSTENTACAO - BVP - SISE-SP - PP_SISE1046_D;PP_SISE1046_D;26/03/2026 18:15:56;"26/03/2026 21:26:35 - DIOGO DA FRANCA RODRIGUES (Anota‡äes de trabalho)
Ajuste criticidade

26/03/2026 18:15:56 - System (Anota‡äes de trabalho)
Task is created by System Administrator , using  ""[code]<u><a href=""em_alert_management_rule.do?sys_id=45f74e2a8786f5544340c9530cbb3541"" target=""_blank"">BRAD - Correlation - Auto Incident - IWS</a></u>[/code]"" Alert Rule.

";system;Em andamento;IWS Processamento;2 - Alto(a);Processamento;DS - BS - SUSTENTACAO - BVP - SISE-SP;DIOGO DA FRANCA RODRIGUES;30/03/2026 08:32:12;M69257;;SISTRAN, SitEmAtendimento;615881be47b37a9845a1fb72036d4336
INC1409265;Divergˆncia de valores e data referente aos pagamentos de resgates nos sistemas SISE-SP, PEGA e Relat¢rio Oficial.;;12/03/2026 13:27:02;"31/03/2026 13:28:19 - IVAN APARECIDO AUGUSTINELI (Anota‡äes de trabalho)
Procedures foram ajustadas para pegar os valores corretamente.
Aguardando janela para implanta‡Æo.

13/03/2026 16:11:36 - IVAN APARECIDO AUGUSTINELI (Anota‡äes de trabalho)
Em atendimento por HELTON SILVA DA CRUZ (SISTRAN) em 13/03/2026 16:00:00

13/03/2026 14:46:11 - DIOGO DA FRANCA RODRIGUES (Anota‡äes de trabalho)
Procedure PEGA: pMassfConsJorndResgt

";F626378;Em andamento;PAULUS MAGNUS LUIZ DE OLIVEIRA;4 - Baixo(a);Bradesco Seguros - Sustenta‡Æo;DS - BS - SUSTENTACAO - BVP - SISE-SP;DIOGO DA FRANCA RODRIGUES;31/03/2026 13:28:19;M69257;;AguardaImplantacao, Prioridade 1, Resgate, SISTRAN, SitEmAtendimento;d57dff0e4723fadcd782d940f26d43f4
